Department,Section,Unit,Title,Number,Release,PO Number,Value,Aging,Vendor,End User,Project,Status,GRNs,In Process,Partially Received,Fully Received
"Planning, Strategy & Operations Department",,,Summer Campaign Tier 1,4512040160,4,4512040160-4,8042775,24,"HONG XING WU ENTERTAINMENT & MEDIA INVESTMENT (H.K.) CO., LIMITED",Mussaifah Mana Alotaiba,4511001334,REQUIRED,3,1,1,1
Creative and Production Department,,,Brand Operations,4512050072,1,4512050072-1,9700,12,FREI FZ LLC,George Nissem,4511000246,INITIATED,,,,
Creative and Production Department,,,Brand Operations,4512050352,,4512050352,6500,12,TWELVE MEDIA LLC,George Nissem,4511000246,INITIATED,,,,
