Department,Section,Unit,Cost Center Code,PO No.,Creation Date,Today,Aging,Approval Status,Title,Project Number,Task Name,Value,Vendor Name,Raised by,Pending with,Pos,Approved,In Process,Partially Approved,AVG. Aging Days
"Planning, Strategy & Operations Department",,,4513130,4512049318-41,03/26/2025,04/08/2025,13,IN PROCESS,Destination Campaign - Cross Market,4511000450,Media Mgmnt &Buy-N,5602268,PUBLICIS SAPIENT FZ-LLC - ABU DHABI,Ady Badawi,End User,8,6,2,0,27.75
"Planning, Strategy & Operations Department",,,4513130,4512040160-4,02/26/2025,04/08/2025,41,APPROVED,Summer Campaign Tier 1,4511001334,Talent Fees-N,4018262,"HONG XING WU ENTERTAINMENT & MEDIA INVESTMENT (H.K.) CO., LIMITED",Mussaifah Mana Saeed Ahmed Alotaiba,End User,,,,,
"Planning, Strategy & Operations Department",,,4513130,4512050204,02/24/2025,04/08/2025,43,APPROVED,Summer Campaign Tier 1,4511001334,Talent Fees-L,1413913,JETLAG MARKETING MANAGEMENT L.L.C,Mussaifah Mana Saeed Ahmed Alotaiba,End User,,,,,
"Planning, Strategy & Operations Department",,,4513130,4512050226-1,02/27/2025,04/08/2025,40,APPROVED,Summer Campaign Tier 1,4511001334,Talent Fees-L,312163,MOVA PRODUCTIONS CO. W.L.L,Mussaifah Mana Saeed Ahmed Alotaiba,End User,,,,,
Creative and Production Department,,,4513110,4512050532,03/25/2025,04/08/2025,14,APPROVED,Brand Operations,4511000246,CampaignProductn-N,33000,TWELVE MEDIA LLC,Ramakurup Gopinathan Saji Unnithan,End User,,,,,
Creative and Production Department,,,4513110,4512050571,03/26/2025,04/08/2025,13,IN PROCESS,Brand Operations,4511000246,CampaignProductn-N,15000,FREI FZ LLC,Ramakurup Gopinathan Saji Unnithan,End User,,,,,
Creative and Production Department,,,4513110,4512050504,03/22/2025,04/08/2025,17,APPROVED,Brand Operations,4511000246,CampaignProductn-N,8750,P3 FILMS L.L.C,Ramakurup Gopinathan Saji Unnithan,End User,,,,,
"Planning, Strategy & Operations Department",,,4513130,4512040160-4,02/26/2025,04/08/2025,41,APPROVED,Summer Campaign Tier 1,4511001334,Talent Fees-L,3673,"HONG XING WU ENTERTAINMENT & MEDIA INVESTMENT (H.K.) CO., LIMITED",Mussaifah Mana Saeed Ahmed Alotaiba,End User,,,,,
